Postal Code,City
100,Colombo 01
1000,Colombo 10
10100,Kotte
10100,Rajagiriya
10100,Sri Jayawardenapura
10115,Malabe
10116,Talawatugoda
10118,Hokandara
10120,Battaramulla
10150,Athurugiriya
10200,Homagama
10204,Habarakada
10206,Pitipana Homagama
10230,Kottawa
10230,Pannipitiya
10232,Hiripitya
10250,Kohuwala
10250,Nugegoda
10280,Maharagama
10290,Boralesgamuwa
10300,Piliyandala
10302,Deltara
10304,Siddamulla
10306,Madapatha
10320,Polgasowita
10350,Dehiwala
10370,Mount Lavinia
10390,Ratmalana
10400,Moratuwa
10500,Padukka
10502,Horagala
10504,Meegoda
10508,Kahawala
10511,Watareka
10513,Batawala
10522,Bope
10524,Handapangoda
10526,Batugampola
10600,Wellampitiya
10620,Angoda
10620,Mulleriyawa
10640,Kaduwela
10650,Hanwella
10654,Ranala
10656,Dedigamuwa
10660,Pugoda
10662,Kapugoda
10664,Tittapattara
10680,Waga
10682,Tummodara
10700,Avissawella
10712,Puwakpitiya
10714,Hewainna
10718,Kalatuwawa
10730,Kosgama
10732,Akarawita
1100,Colombo 11
11000,Gampaha
11010,Ragama
11011,Batuwatta
11012,Walpola (WP)
11020,Ganemulla
11024,Bollete
11030,Udugampola
11033,Madelgamuwa
11034,Uggalboda
11040,Bemmulla
11043,Pethiyagoda
11052,Ambagaspitiya
11054,Udathuthiripitiya
11056,Mudungoda
11061,Mandawala
11062,Lunugama
11068,Wanaluwewa
11100,Veyangoda
11102,Dewalapola
11104,Watinapaha
11108,Essella
11114,Mabodale
11116,Ellakkala
11120,Attanagalla
11122,Alawala
11126,Urapola
11129,Rukmale
11134,Bopagama
11142,Ruggahawila
11144,Kahatowita
11146,Walgammulla
11150,Pallewela
11160,Kaleliya
11200,Mirigama
11204,Loluwagoda
11208,Divuldeniya
11212,Ambepussa
11214,Pamunuwatta
11216,Bokalagama
11222,Nawala
11224,Kaluaggala
11226,Walpita
11228,Delwagura
11232,Kotadeniyawa
11234,Mellawagedara
11244,Banduragoda
11250,Divulapitiya
11260,Maradagahamula
11262,Hunumulla
11264,Dunagaha
11265,Ihala Madampella
11270,Demanhandiya
11300,Wattala
11320,Kandana
11324,Polpithimukulana
11328,Uswetakeiyawa
11350,Ja-Ela
11358,Makewita
11370,Pamunugama
11380,Ekala
11390,Kotugoda
11400,Raddolugama
11410,Seeduwa
11450,Katunayaka
11500,Negombo
11504,Talahena
11522,Kimbulapitiya
11524,Dagonna
11532,Thimbirigaskatuwa
11534,Katana
11536,Akaragama
11538,Badalgama
11540,Kochchikade
11550,Minuwangoda
11558,Andiambalama
11564,Horampella
11566,Yatiyana(WP)
11568,Hinatiyana
11600,Kelaniya
11600,Kiribathgoda
11607,Siyambalape
11618,Heiyanthuduwa
11630,GonawalaWP
11640,Makola
11650,Biyagama
11670,Malwana
11672,Biyagama IPZ
11680,Dompe
11690,Dekatana
11692,Demalagama
11700,Delgoda
11710,Weliveriya
11715,Henegama
11720,Buthpitiya
11724,Wathurugama
11725,Radawana
11730,Kirindiwela
11734,Hiswella
11741,Pepiliyawala
11830,Peliyagoda
11850,Kadawatha
11856,Imbulgoda
11858,Weboda
11870,Yakkala
11875,Kalagedihena
11880,Nittambuwa
11889,Debahera
11890,Pasyala
11892,Radawadunna
11894,Weweldeniya
11896,Danowita
1200,Colombo 12
12000,Kalutara
12005,Galpatha
12006,Yatawara Junction
12008,Bolossagama
12009,Remunagoda
12016,Gamagoda
12020,Dodangoda
12024,Bombuwala
12025,Tebuwana
12030,Neboda
12050,Paiyagala
12055,Halkandawila
12060,Maggona
12070,Beruwala
12074,Padagoda
12078,Kalawila Kiranthidiya
12080,Alutgama
12090,Dharga Town
12094,Meegama
12100,Matugama
12104,Yatadolawatta
12108,Welipenna
12112,Walagedara
12114,Pannila
12116,Ittapana
12118,Halwala
12122,Paraigama
12124,Yagirala
12126,Mahakalupahana
12127,Utumgama
12130,Meegahatenna
12134,Walallawita
12136,Polgampola
12138,Pelawatta
12142,Boralugoda
12144,Pahalahewessa
12148,DanawalaThiniyawala
12200,Agalawatta
12204,Veyangalla
12210,Mahagama
12214,Pelanda
12224,Bellana
12230,Baduraliya
12234,Hedigalla Colony
12236,Gurulubadda
12300,Bulathsinhala
12302,Paragoda
12304,Delmella
12306,Halwatura
12308,Diwalakada
12310,Govinna
12320,Anguruwatota
12322,Uduwara
12400,Horana
12404,Pokunuwita
12410,Gonapola
12412,Millaniya
12414,Paragastota
12416,Dombagoda
12418,Kananwila
12422,Millewa
12428,Kandanagama
12432,Poruwedanda
12440,Ingiriya
12440,lngiriya
12500,Panadura
12524,Alubomulla
12530,Bandaragama
12538,Haltota
12560,Wadduwa
12564,Morontuduwa
12580,Waskaduwa
1300,Colombo 13
1400,Colombo 14
1500,Colombo 15
200,Colombo 02
20000,Kandy
20032,Halloluwa
20034,Yatihalagala
20042,lhala Kobbekaduwa
20044,Sangarajapura
20052,Uduwa
20060,Hataraliyadda
20062,Aludeniya
20068,Dedunupitiya
20080,Werellagama
20084,Pallekotuwa
20092,Harankahawa
20093,Bokkawala
20094,Udahingulwala
20095,Gallellagama
20100,Galagedara
20106,Poholiyadda
20112,Pujapitiya
20120,MedawalaHarispattuwa
20126,Dolapihilla
20128,Rambukwella
20132,Batugoda
20136,Ambatenna
20140,Alawatugoda
20150,Ankumbura
20152,Galhinna
20154,Batagolladeniya
20160,Ampitiya
20164,Uduwela
20166,Tennekumbura
20168,Kundasale
20168,Pallekele
20170,Menikhinna
20172,Lunuketiya Maditta
20176,Naranpanawa
20180,Rajawella
20184,Gomagoda
20186,Kengalla
20189,Gurudeniya
20196,Pilawala
20200,Talatuoya
20202,Etulgama
20206,Kapuliyadde
20210,Marassana
20214,Godamunna
20216,Mahamedagama
20218,Bawlana
20234,Yahalatenna
20250,Polgolla
20260,Madawala Bazaar
20270,Gunnepana
20300,Kadugannawa
20308,Balana
20400,Peradeniya
20404,Uda Peradeniya
20409,Megoda Kalugamuwa
20414,Hindagala
20420,Galaha
20430,Deltota
20438,Handawalapitiya
20438,Nawalapitiya
20440,Hewaheta
20450,Pilimatalawa
20454,Wattappola
20465,Danture
20470,Menikdiwela
20480,Handessa
20482,Leemagahakotuwa
20500,Gampola
20506,Udahentenna
20510,Dolosbage
20511,Pattitalawa
20512,Meetalawa
20524,Hondiyadeniya
20532,Doluwa
20544,Panwilatenna
20546,Pupuressa
20562,Ulapane
20564,Mawatura
20566,Maswela
20567,Doragala
20574,Atabage
20578,Paradeka
20580,Pussellawa
20590,Ramboda
20592,Labukele
20610,Weligalla
20620,Gelioya
20640,Velamboda
20644,Bambaragahaela
20654,Pasbage
20656,Gonawalapatana
20658,Dekinda
20662,Mapakanda
20664,Galaboda
20668,Hapugastalawa
20669,Harangalagama
20676,Rambukpitiya
20678,Ambagamuwa
20680,Ginigathena
20682,Pitawala
20684,Dagampitiya
20686,Ambatalawa
20702,Mailapitiya
20708,Unuwinna
20710,Hanguranketha
20712,Gonagantenna
20714,Marymount Colony
20722,Udawatta
20724,lllagolla
20730,Rikillagaskada
20732,Ekiriya
20734,Pallebowala
20738,Karandagolla
20742,Elamulla
20744,Mandaram Nuwara
20748,Maturata
20750,Padiyapelella
20800,Katugastota
20802,Udatalawinna
20810,Wattegama
20816,Doragamuwa
20818,Rathukohodigala
20822,Jambugahapitiya
20824,Dunuwila
20828,Makkanigama
20830,Panvila
20838,Tawalantenna
20840,Madulkele
20850,Akurana
20900,Teldeniya
20904,Senarathwela
20906,Putuhapuwa
20916,Udispattuwa
20921,Makuldeniya
20922,Rangala
20924,Kahataliyadda
20926,Kalugala
20932,Bopana
20934,Uduwahinna
20938,Madugalla
20940,Medamahanuwara
20945,Mahadoraliyadda
20948,Hunnasgiriya
20950,Ududumbara
20960,Hasalaka
20965,Ulpothagama
20966,Batumulla
20967,Barawardhana Oya
20982,Weragantota
20984,Handaganawa
20986,Ambagahapelessa
20990,Rantembe
21000,Matale
21004,Alwatta
21006,Udatenna
21008,Leliambe
21012,Elkaduwa
21014,Karagahinna
21020,Ovilikanda
21032,Dankanda
21046,Dunkolawatta
21048,Walawela
21051,Udasgiriya
21054,Dullewa
21055,Melipitiya
21056,Yatawatta
21058,Selagama
21062,Metihakka
21064,Imbulgolla
21066,Kaikawala
21068,Gammaduwa
21070,Palapathwela
21074,Madawala
21076,Opalgala
21090,Naula
21094,Lenadora
21100,Dambulla
21106,Kandalama
21108,Erawula Junction
21112,Kalundawa
21116,Talakiriyagama
21120,Sigiriya
21124,Inamaluwa
21140,Mahawela
21142,Akuramboda
21144,Mananwatta
21152,Pallepola
21156,Madipola
21160,Wahacotte
21200,Galewela
21206,Dewahuwa
21212,Bambaragaswewa
21214,Beligamuwa
21300,Ukuwela
21400,Rattota
21402,Etanawala
21404,Gangala
21406,lllukkumbura
21502,Pubbiliya
21504,Ambana
21506,Talagoda Junction
21512,Ataragallewa
21514,Hattota Amuna
21520,Laggala Pallegama
21524,Ranamuregama
21530,Wilgamuwa
21532,Perakanatta
21536,Handungamuwa
21538,Dunuwilapitiya
21552,Devagiriya
21554,Maraka
22000,Hatton
22002,Dunukedeniya
22008,Rozella
22010,Watawala
22012,Patana
22021,Maldeniya
22024,Hedunuwewa
22034,Laxapana
22044,Hangarapitiya
22046,Hitigegama
22050,Dikoya
22060,Bogawantalawa
22070,Maskeliya
22080,Kotagala
22090,Lindula
22094,Agarapathana
22095,Bopattalawa
22096,Dayagama Bazaar
22100,Talawakele
22110,Watagoda
22120,Pundaluoya
22200,Nuwara Eliya
22202,Santhipura
22208,Haggala
22212,Ruwaneliya
22216,Ambewela
22220,Kandapola
22226,Gonakele
22240,Halgranoya
22245,Rupaha
22250,Udapussallawa
22256,Madulla
22262,Harasbedda
22270,Walapane
22280,Nildandahinna
22282,Kalaganwatta
22285,Udamadura
22287,Teripeha
300,Colombo 03
30000,Batticaloa
30016,Kannankudah
30022,Pillaiyaradi
30024,Thannamunai
30100,Kattankudy
30150,Araipattai
30158,Puthukudiyiruppu
30160,Kokkaddichcholai
30162,Ampilanthurai
30194,Cheddipalayam
30196,Thettativu
30200,Kaluwanchikudi
30204,Vellavely
30206,Bakiella
30220,Mandur
30230,Periyaporativu
30234,Thirupalugamam
30236,Thikkodai
30250,Kallar
30254,Thuraineelavanai
