Postal Code,City,District
100,Colombo 01,Colombo
1000,Colombo 10,Colombo
10100,Kotte,Colombo
10100,Rajagiriya,Colombo
10100,Sri Jayawardenapura,Colombo
10115,Malabe,Colombo
10116,Talawatugoda,Colombo
10118,Hokandara,Colombo
10120,Battaramulla,Colombo
10150,Athurugiriya,Colombo
10200,Homagama,Colombo
10204,Habarakada,Colombo
10206,Pitipana Homagama,Colombo
10230,Kottawa,Colombo
10230,Pannipitiya,Colombo
10232,Hiripitya,Colombo
10250,Kohuwala,Colombo
10250,Nugegoda,Colombo
10280,Maharagama,Colombo
10290,Boralesgamuwa,Colombo
10300,Piliyandala,Colombo
10302,Deltara,Colombo
10304,Siddamulla,Colombo
10306,Madapatha,Colombo
10320,Polgasowita,Colombo
10350,Dehiwala,Colombo
10370,Mount Lavinia,Colombo
10390,Ratmalana,Colombo
10400,Moratuwa,Colombo
10500,Padukka,Colombo
10502,Horagala,Colombo
10504,Meegoda,Colombo
10508,Kahawala,Colombo
10511,Watareka,Colombo
10513,Batawala,Colombo
10522,Bope,Colombo
10524,Handapangoda,Colombo
10526,Batugampola,Colombo
10600,Wellampitiya,Colombo
10620,Angoda,Colombo
10620,Mulleriyawa,Colombo
10640,Kaduwela,Colombo
10650,Hanwella,Colombo
10654,Ranala,Colombo
10656,Dedigamuwa,Colombo
10660,Pugoda,Colombo
10662,Kapugoda,Colombo
10664,Tittapattara,Colombo
10680,Waga,Colombo
10682,Tummodara,Colombo
10700,Avissawella,Colombo
10712,Puwakpitiya,Colombo
10714,Hewainna,Colombo
10718,Kalatuwawa,Colombo
10730,Kosgama,Colombo
10732,Akarawita,Colombo
1100,Colombo 11,Colombo
11000,Gampaha,Gampaha
11010,Ragama,Gampaha
11011,Batuwatta,Gampaha
11012,Walpola (WP),Gampaha
11020,Ganemulla,Gampaha
11024,Bollete,Gampaha
11030,Udugampola,Gampaha
11033,Madelgamuwa,Gampaha
11034,Uggalboda,Gampaha
11040,Bemmulla,Gampaha
11043,Pethiyagoda,Gampaha
11052,Ambagaspitiya,Gampaha
11054,Udathuthiripitiya,Gampaha
11056,Mudungoda,Gampaha
11061,Mandawala,Gampaha
11062,Lunugama,Gampaha
11068,Wanaluwewa,Gampaha
11100,Veyangoda,Gampaha
11102,Dewalapola,Gampaha
11104,Watinapaha,Gampaha
11108,Essella,Gampaha
11114,Mabodale,Gampaha
11116,Ellakkala,Gampaha
11120,Attanagalla,Gampaha
11122,Alawala,Gampaha
11126,Urapola,Gampaha
11129,Rukmale,Gampaha
11134,Bopagama,Gampaha
11142,Ruggahawila,Gampaha
11144,Kahatowita,Gampaha
11146,Walgammulla,Gampaha
11150,Pallewela,Gampaha
11160,Kaleliya,Gampaha
11200,Mirigama,Gampaha
11204,Loluwagoda,Gampaha
11208,Divuldeniya,Gampaha
11212,Ambepussa,Gampaha
11214,Pamunuwatta,Gampaha
11216,Bokalagama,Gampaha
11222,Nawala,Gampaha
11224,Kaluaggala,Gampaha
11226,Walpita,Gampaha
11228,Delwagura,Gampaha
11232,Kotadeniyawa,Gampaha
11234,Mellawagedara,Gampaha
11244,Banduragoda,Gampaha
11250,Divulapitiya,Gampaha
11260,Maradagahamula,Gampaha
11262,Hunumulla,Gampaha
11264,Dunagaha,Gampaha
11265,Ihala Madampella,Gampaha
11270,Demanhandiya,Gampaha
11300,Wattala,Gampaha
11320,Kandana,Gampaha
11324,Polpithimukulana,Gampaha
11328,Uswetakeiyawa,Gampaha
11350,Ja-Ela,Gampaha
11358,Makewita,Gampaha
11370,Pamunugama,Gampaha
11380,Ekala,Gampaha
11390,Kotugoda,Gampaha
11400,Raddolugama,Gampaha
11410,Seeduwa,Gampaha
11450,Katunayaka,Gampaha
11500,Negombo,Gampaha
11504,Talahena,Gampaha
11522,Kimbulapitiya,Gampaha
11524,Dagonna,Gampaha
11532,Thimbirigaskatuwa,Gampaha
11534,Katana,Gampaha
11536,Akaragama,Gampaha
11538,Badalgama,Gampaha
11540,Kochchikade,Gampaha
11550,Minuwangoda,Gampaha
11558,Andiambalama,Gampaha
11564,Horampella,Gampaha
11566,Yatiyana(WP),Gampaha
11568,Hinatiyana,Gampaha
11600,Kelaniya,Gampaha
11600,Kiribathgoda,Gampaha
11607,Siyambalape,Gampaha
11618,Heiyanthuduwa,Gampaha
11630,GonawalaWP,Gampaha
11640,Makola,Gampaha
11650,Biyagama,Gampaha
11670,Malwana,Gampaha
11672,Biyagama IPZ,Gampaha
11680,Dompe,Gampaha
11690,Dekatana,Gampaha
11692,Demalagama,Gampaha
11700,Delgoda,Gampaha
11710,Weliveriya,Gampaha
11715,Henegama,Gampaha
11720,Buthpitiya,Gampaha
11724,Wathurugama,Gampaha
11725,Radawana,Gampaha
11730,Kirindiwela,Gampaha
11734,Hiswella,Gampaha
11741,Pepiliyawala,Gampaha
11830,Peliyagoda,Gampaha
11850,Kadawatha,Gampaha
11856,Imbulgoda,Gampaha
11858,Weboda,Gampaha
11870,Yakkala,Gampaha
11875,Kalagedihena,Gampaha
11880,Nittambuwa,Gampaha
11889,Debahera,Gampaha
11890,Pasyala,Gampaha
11892,Radawadunna,Gampaha
11894,Weweldeniya,Gampaha
11896,Danowita,Gampaha
1200,Colombo 12,Colombo
12000,Kalutara,Kalutara
12005,Galpatha,Kalutara
12006,Yatawara Junction,Kalutara
12008,Bolossagama,Kalutara
12009,Remunagoda,Kalutara
12016,Gamagoda,Kalutara
12020,Dodangoda,Kalutara
12024,Bombuwala,Kalutara
12025,Tebuwana,Kalutara
12030,Neboda,Kalutara
12050,Paiyagala,Kalutara
12055,Halkandawila,Kalutara
12060,Maggona,Kalutara
12070,Beruwala,Kalutara
12074,Padagoda,Kalutara
12078,Kalawila Kiranthidiya,Kalutara
12080,Alutgama,Kalutara
12090,Dharga Town,Kalutara
12094,Meegama,Kalutara
12100,Matugama,Kalutara
12104,Yatadolawatta,Kalutara
12108,Welipenna,Kalutara
12112,Walagedara,Kalutara
12114,Pannila,Kalutara
12116,Ittapana,Kalutara
12118,Halwala,Kalutara
12122,Paraigama,Kalutara
12124,Yagirala,Kalutara
12126,Mahakalupahana,Kalutara
12127,Utumgama,Kalutara
12130,Meegahatenna,Kalutara
12134,Walallawita,Kalutara
12136,Polgampola,Kalutara
12138,Pelawatta,Kalutara
12142,Boralugoda,Kalutara
12144,Pahalahewessa,Kalutara
12148,DanawalaThiniyawala,Kalutara
12200,Agalawatta,Kalutara
12204,Veyangalla,Kalutara
12210,Mahagama,Kalutara
12214,Pelanda,Kalutara
12224,Bellana,Kalutara
12230,Baduraliya,Kalutara
12234,Hedigalla Colony,Kalutara
12236,Gurulubadda,Kalutara
12300,Bulathsinhala,Kalutara
12302,Paragoda,Kalutara
12304,Delmella,Kalutara
12306,Halwatura,Kalutara
12308,Diwalakada,Kalutara
12310,Govinna,Kalutara
12320,Anguruwatota,Kalutara
12322,Uduwara,Kalutara
12400,Horana,Kalutara
12404,Pokunuwita,Kalutara
12410,Gonapola,Kalutara
12412,Millaniya,Kalutara
12414,Paragastota,Kalutara
12416,Dombagoda,Kalutara
12418,Kananwila,Kalutara
12422,Millewa,Kalutara
12428,Kandanagama,Kalutara
12432,Poruwedanda,Kalutara
12440,Ingiriya,Kalutara
12440,lngiriya,Kalutara
12500,Panadura,Kalutara
12524,Alubomulla,Kalutara
12530,Bandaragama,Kalutara
12538,Haltota,Kalutara
12560,Wadduwa,Kalutara
12564,Morontuduwa,Kalutara
12580,Waskaduwa,Kalutara
1300,Colombo 13,Colombo
1400,Colombo 14,Colombo
1500,Colombo 15,Colombo
200,Colombo 02,Colombo
20000,Kandy,Kandy
20032,Halloluwa,Kandy
20034,Yatihalagala,Kandy
20042,lhala Kobbekaduwa,Kandy
20044,Sangarajapura,Kandy
20052,Uduwa,Kandy
20060,Hataraliyadda,Kandy
20062,Aludeniya,Kandy
20068,Dedunupitiya,Kandy
20080,Werellagama,Kandy
20084,Pallekotuwa,Kandy
20092,Harankahawa,Kandy
20093,Bokkawala,Kandy
20094,Udahingulwala,Kandy
20095,Gallellagama,Kandy
20100,Galagedara,Kandy
20106,Poholiyadda,Kandy
20112,Pujapitiya,Kandy
20120,MedawalaHarispattuwa,Kandy
20126,Dolapihilla,Kandy
20128,Rambukwella,Kandy
20132,Batugoda,Kandy
20136,Ambatenna,Kandy
20140,Alawatugoda,Kandy
20150,Ankumbura,Kandy
20152,Galhinna,Kandy
20154,Batagolladeniya,Kandy
20160,Ampitiya,Kandy
20164,Uduwela,Kandy
20166,Tennekumbura,Kandy
